(1.5e-2,4.4655766)
(4.4999998e-2,3.3967304)
(7.5e-2,2.3278835)
(0.105000004,1.2590377)
(0.135,0.19019365)
(0.16499999,-0.87865686)
(0.195,-1.9474998)
(0.22500001,-3.0163445)
(0.255,-4.0851784)
(0.285,-5.1540313)
(0.315,-6.2228894)
(0.345,-7.291725)
(0.375,-8.360573)
(0.40500003,-9.429417)
(0.435,-10.498257)
(0.465,-11.567102)
(0.495,-12.635947)
(0.525,-13.704755)
(0.555,-14.773676)
(0.585,-15.842445)
(0.615,-16.911383)
(0.645,-17.980188)
(0.67499995,-19.049044)
(0.705,-20.117908)
(0.735,-21.186775)
(0.765,-22.255634)
(0.79499996,-23.324497)
(0.82500005,-24.393372)
(0.855,-25.462242)
(0.885,-26.531118)
(0.915,-27.599995)
(0.945,-28.66894)
(0.97499996,-29.737762)
(1.005,-30.803257)
(1.035,-31.836813)
(1.0649999,-32.80902)
(1.095,-33.71791)
(1.125,-34.562057)
(1.155,-35.342323)
(1.1850001,-36.0578)
(1.215,-36.710022)
(1.245,-37.297455)
(1.2750001,-37.82086)
(1.3050001,-38.2801)
(1.335,-38.675163)
(1.365,-39.006042)
(1.395,-39.272747)
(1.425,-39.475273)
(1.455,-39.613632)
(1.485,-39.687824)
(1.515,-39.697826)
(1.545,-39.64366)
(1.5749999,-39.525326)
(1.605,-39.34281)
(1.635,-39.09613)
(1.665,-38.785263)
(1.6949999,-38.41022)
(1.7249999,-37.971012)
(1.7549999,-37.467625)
(1.7850001,-36.90005)
(1.815,-36.26831)
(1.845,-35.572403)
(1.875,-34.812317)
(1.905,-33.988197)
(1.935,-33.099617)
(1.9649999,-32.147003)
(1.9950001,-31.133606)
(2.025,-30.088123)
(2.055,-29.03924)
(2.085,-27.990608)
(2.115,-26.941015)
(2.145,-25.892622)
(2.1750002,-24.84397)
(2.205,-23.794884)
(2.2350001,-22.746002)
(2.2649999,-21.697144)
(2.295,-20.64827)
(2.3249998,-19.599592)
(2.355,-18.550531)
(2.385,-17.50134)
(2.415,-16.452974)
(2.445,-15.403952)
(2.475,-14.35509)
(2.5049999,-13.306228)
(2.535,-12.257354)
(2.565,-11.208488)
(2.595,-10.159624)
(2.625,-9.110762)
(2.655,-8.061906)
(2.685,-7.013046)
(2.715,-5.9641867)
(2.7450001,-4.9153166)
(2.775,-3.866455)
(2.805,-2.817593)
(2.835,-1.7687316)
(2.865,-0.7198696)
(2.895,0.32898402)
(2.9250002,1.3778546)
(2.955,2.4267037)
(2.9850001,3.4755692)
